appName,link,tags
ONE PIECE: PIRATE WARRIORS 4,https://store.steampowered.com/app/1089090/ONE_PIECE_PIRATE_WARRIORS_4,"Anime,Hack and Slash,Beat 'em up,Fighting,Pirates,Action,Split Screen,PvP,Arcade,Multiplayer,Co-op,Adventure,RPG,Local Co-Op,Comedy,Online Co-Op,Musou,Controller,Singleplayer,Open World"
,https://store.steampowered.com/agecheck/app/979690,
House Flipper,https://store.steampowered.com/app/613100/House_Flipper,"Simulation,Design & Illustration,Building,Singleplayer,Relaxing,Sandbox,Casual,Immersive Sim,Education,Management,Economy,Family Friendly,First-Person,Replay Value,Base Building,3D,Realistic,Indie,Moddable,Destruction"
,https://store.steampowered.com/agecheck/app/1245620,Violent
BONELAB,https://store.steampowered.com/app/1592190/BONELAB,"VR,Physics,Sandbox,Action,Shooter,FPS,First-Person,Action-Adventure,Violent,Underground,Experimental,Psychological,Combat,Puzzle,Dark,Indie,Story Rich,Female Protagonist,Singleplayer,Atmospheric"
Eternal Return,https://store.steampowered.com/app/1049590/Eternal_Return,"Free to Play,Anime,MOBA,Survival,Multiplayer,PvP,Top-Down,Combat,Crafting,Strategy,Tactical,Action,3D,Character Customization,Indie,Experimental,Point & Click,Early Access,Sexual Content,MMORPG"
This War of Mine,https://store.steampowered.com/app/282070/This_War_of_Mine,"Survival,War,Atmospheric,Singleplayer,Strategy,Choices Matter,Simulation,Crafting,Base Building,Resource Management,Story Rich,Management,Indie,Post-apocalyptic,Emotional,Realistic,Drama,Psychological,Stealth,2.5D"
Transport Fever 2,https://store.steampowered.com/app/1066780/Transport_Fever_2,"Simulation,Strategy,Management,Transportation,City Builder,Trains,Economy,Sandbox,Building,Singleplayer,Realistic,Moddable,Open World,Flight,Resource Management,Games Workshop,Naval,Indie,Casual,Historical"
Teardown,https://store.steampowered.com/app/1167630/Teardown,"Destruction,Physics,Sandbox,Voxel,First-Person,Heist,Open World,Singleplayer,Realistic,Simulation,3D,Action,Puzzle,Driving,Indie,Replay Value,Tactical,Immersive Sim,Puzzle Platformer,Runner"
American Truck Simulator,https://store.steampowered.com/app/270880/American_Truck_Simulator,"Automobile Sim,Driving,Open World,Transportation,Simulation,America,Realistic,Moddable,Relaxing,Exploration,Economy,Atmospheric,Management,Immersive Sim,Multiplayer,Singleplayer,Adventure,Casual,Family Friendly,Level Editor"
War Thunder,https://store.steampowered.com/app/236390/War_Thunder,"Free to Play,Vehicular Combat,Combat,VR,World War II,Flight,War,Military,Tanks,Naval Combat,Modern,Simulation,Cold War,Massively Multiplayer,Action,Third-Person Shooter,Shooter,Third Person,Realistic,Historical"
MOBILE SUIT GUNDAM BATTLE OPERATION 2,https://store.steampowered.com/app/1367080/MOBILE_SUIT_GUNDAM_BATTLE_OPERATION_2,"Free to Play,Robots,PvP,Third-Person Shooter,Team-Based,Mechs,Shooter,3D,Military,Action,Multiplayer,Tactical,Character Customization,PvE,Singleplayer,Co-op,Third Person,Anime,Casual,Dating Sim"
Gang Beasts,https://store.steampowered.com/app/285900/Gang_Beasts,"Funny,Physics,Multiplayer,Colorful,Party Game,Party,Local Multiplayer,Fighting,Comedy,3D Fighter,Casual,Soundtrack,4 Player Local,Co-op,Family Friendly,Beat 'em up,Memes,Third Person,Singleplayer,Indie"
